s_id,country,type,servings
492,Uzbekistan,beer,25
493,Uzbekistan,spirit,101
494,Uzbekistan,wine,8
495,Vanuatu,beer,21
496,Vanuatu,spirit,18
497,Vanuatu,wine,11
498,Venezuela,beer,333
499,Venezuela,spirit,100
500,Venezuela,wine,3
501,Vietnam,beer,111
502,Vietnam,spirit,2
503,Vietnam,wine,1
504,Yemen,beer,6
505,Zambia,beer,32
506,Zambia,spirit,19
507,Zambia,wine,4
508,Zimbabwe,beer,64
509,Zimbabwe,spirit,18
510,Zimbabwe,wine,4
